Table 1
Dates,Camp # '25,Arena Name,Camp Cost 25,City / Town / State,Camp Description,Times,Ages,
7/7/2025 - 7/11/2025,43-25,Union Arena,$670.00 ,Woodstock VT,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/7/2025 - 7/11/2025,44-25,Union Arena,$525.00 ,Woodstock VT,Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/7/2025 7/10/2025,45-25,Ice House,$595.00 ,Canton MA,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
7/7/2025 7/10/2025,46-25,Ice House,$475.00 ,Canton MA,Total Skills Development,9:00am - 11:50pm,7 - 15 yrs,
7/7/2025 - 7/10/2025,47-25,Boss Ice Arena (M-TH),$575.00 ,Kingston RI,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
7/7/2025 - 7/10/2025,48-25,Boss Ice Arena (M-TH),$425.00 ,Kingston RI,Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,
7/7/2025 - 7/11/2025,49-25,Cairns Arena,$675.00 ,"Burlington, VT",Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/7/2025 - 7/11/2025,50-25,Cairns Arena,$525.00 ,"Burlington, VT",Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/7/2025 7/10/2025,51-25,The Bog Arena,$580.00 ,Kingston MA,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
7/7/2025 7/10/2025,52-25,The Bog Arena,$435.00 ,Kingston MA,Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,
,,,,,,,,
,,,,,,,,
7/14/2025 - 7/18/2025,53-25,Valley Sports Ice Arena Rink 1 ,$650.00 ,"Concord, MA",Total Skills Development,8:45am - 3:10pm,10 - 15 yrs,
7/14/2025 - 7/18/2025,54-25,Valley Sports Ice Arena Rink 1 ,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,8:45am - 11:35pm,10 - 15 yrs,
7/14/2025 - 7/18/2025,55-25,Chase Arena,$650.00 ,"Natick, MA",Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
7/14/2025 - 7/18/2025,56-25,Chase Arena,$475.00 ,"Natick, MA",Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,
7/14/2025 - 7/18/2025,57-25,Roche Arena,$650.00 ,"West Roxbury, MA",Total Skills Development,9:00p - 3:00p,7 - 15 yrs,
7/14/2025 - 7/18/2025,58-25,Roche Arena,$525.00 ,"West Roxbury, MA",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,
7/14/2025 - 7/18/2025,59-25,Cairns Arena,$675.00 ,"Burlington, VT",Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
7/14/2025 - 7/18/2025,60-25,Cairns Arena,$525.00 ,"Burlington, VT",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,
7/14/2025 - 7/17/2025,61-25,Boss Ice Arena (M-TH),$575.00 ,Kingston RI,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
